,X,Site,Elevation,Habitat,degree,species.strength,nestedrank,PDI,resource.range,PSI,betweenness,weighted.betweenness,closeness,weighted.closeness,effective.partners,proportional.similarity,d,Clase,Family,Genus,species,X.y,Fruit_Weight,Fruit_length,Fruit_Width,Seed_Weight,Seed_length,Seed_width,nFruits,nSeed,Plant_Heigth,rlq1,rlq2,rlq1W,rlq2W
91,Vib_obt,Finca,2000,B_Dis,9,1.90444018852162,0.142857142857143,0.964912280701754,0.789473684210526,1,0.206106870229008,0.101580135440181,0.059347181008902,0.019726090008212,5.83057372664805,0.405928365582544,0.305568070361562,Plant,Adoxaceae,Viburnum,cf obtectum,91,0.915733333,9.782666667,12.48666667,0.1164,6.04,5.12,40,1,10,-1.33238868875071,-1.46879103185138,-0.672206478264967,0.368289923122134
92,D2CA1spp8,Cajanuma,3000,A_Nat,2,0.138461538461538,0.315789473684211,0.916666666666667,0.916666666666667,1,0,0,0.071599045346062,0.035874190049779,2,0.423529411764706,0.016851187730152,Plant,Indet,Indet,600,92,0.158133333,6.606666667,6.16,0.002,1.1,0.1,80,10,11,-0.023510605573531,-0.144309320118864,-1.25036724854608,0.055383048980553
93,epifita,Cajanuma,3000,A_Nat,1,0.363636363636364,0.368421052631579,1,1,1,0,0,0.047732696897375,0.035972226095201,1,0.129411764705882,0.609287450619353,Plant,Indet,Indet,700,93,0.001,0.8,1,1,1,1,200,1,6,-0.023510605573531,-0.144309320118864,-1.25036724854608,0.055383048980553
94,epifita2,Cajanuma,3000,A_Nat,1,0.115384615384615,0.421052631578947,1,1,1,0,0,0.071599045346062,0.054074446680081,1,0.305882352941176,0.195611674114798,Plant,Indet,Indet,701,94,0.1875,7.7,7.05,1,1,1,15,1,4,-0.023510605573531,-0.144309320118864,-1.25036724854608,0.055383048980553
95,Eri_300,Cajanuma,3000,A_Nat,4,1.11575091575092,0.052631578947368,0.875,0.75,1,0.128205128205128,0.12962962962963,0.075178997613365,0.084457247610318,3.59611546662432,0.541176470588235,0.276893825058595,Plant,Ericaceae,Ericaceae,300,95,0.0275,4.3,2.8,0.001,1.78,0.54,200,20,7,0.736394320022923,1.25738456161043,0.500354816845596,1.58305815515295
96,Eri_301,Cajanuma,3000,A_Nat,2,0.690909090909091,0.210526315789474,0.972222222222222,0.916666666666667,1,0.025641025641026,0.148148148148148,0.052505966587112,0.050447772867702,1.75476535060332,0.188235294117647,0.620491217755386,Plant,Ericaceae,Ericaceae,301,96,0.020333333,2.983333333,3.166666667,0.002,0.01,0.01,200,75,5,1.03157602342368,-0.246152539862359,0.80533824415256,0.232350402574296
97,Eri_302,Cajanuma,3000,A_Nat,1,0.2,0.578947368421053,1,1,1,0,0,0.028639618138425,NA,1,0.058823529411765,0.506018961178035,Plant,Ericaceae,Ericaceae,302,97,0.132285714,5.142857143,5.614285714,0.002,0.68,0.26,200,5.333333333,3,0.644414409458172,-1.78085461724942,-0.142336738187827,-1.47596301408256
98,Gau_ere,Cajanuma,3000,A_Nat,1,0.2,0.631578947368421,1,1,1,0,0,0.028639618138425,NA,1,0.058823529411765,0.506018961178035,Plant,Ericaceae,Gaultheria,erecta,98,0.0508,3.5,4.7,0.001,0.1,0.1,10,150,2.5,1.01365840638565,-2.14053862874913,0.490359311361045,-1.67066334460654
99,Gor_300,Cajanuma,3000,A_Nat,1,0.2,0.684210526315789,1,1,1,0,0,0.028639618138425,NA,1,0.058823529411765,0.506018961178035,Plant,Theaceae,Gordonia,300,99,1.552666667,13.9,13.56,0.0732,7.06,4.74,50,3.5,7,-2.16840196112395,1.02583738560222,-5.28604221675249,0.621721150998143
100,Gra_300,Cajanuma,3000,A_Nat,1,0.2,0.736842105263158,1,1,1,0,0,0.028639618138425,NA,1,0.058823529411765,0.506018961178035,Plant,Graminea,Graminea,300,100,0.0132,5.2,5.506666667,0.001,1.35,0.3,50,75,10,0.079328532147818,3.51024472002759,-0.402064343513627,3.27399033965602
101,Gra_har,Cajanuma,3000,A_Nat,1,0.076923076923077,0.473684210526316,1,1,1,0,0,0.071599045346062,0.03947851634227,1,0.305882352941176,0.093015179917759,Plant,Melastomataceae,Graffenrieda,harlingii,101,0.058,4.3,3.9,0.002,1.84,0.34,60,6,9,0.429051639199199,2.75895832183894,0.123026895242029,2.84279597000527
